Country,Consumption Range,Min Consumption (kWh),Max Consumption (kWh),Energy Source,Avg Installation Cost ($),Avg Cost per kWh ($),Avg Consumption (kWh)
South Africa,Medium,200,500,Biomass,3500.0,0.1,350.0
South Africa,High,500,1000,Solar Power,18750.0,0.08,750.0
South Africa,High,500,1000,Wind Power,5750.0,0.04,750.0
South Africa,High,500,1000,Hydropower,3000.0,0.055,750.0
South Africa,High,500,1000,Biomass,3500.0,0.1,750.0
South Africa,Very High,1000,2000,Solar Power,18750.0,0.08,1500.0
South Africa,Very High,1000,2000,Wind Power,5750.0,0.04,1500.0
South Africa,Very High,1000,2000,Hydropower,3000.0,0.055,1500.0
South Africa,Very High,1000,2000,Biomass,3500.0,0.1,1500.0
Italy,Low,100,200,Solar Power,18750.0,0.08,150.0
Italy,Low,100,200,Wind Power,5750.0,0.04,150.0
Italy,Low,100,200,Hydropower,3000.0,0.055,150.0
Italy,Low,100,200,Biomass,3500.0,0.1,150.0
Italy,Medium,200,500,Solar Power,18750.0,0.08,350.0
Italy,Medium,200,500,Wind Power,5750.0,0.04,350.0
Italy,Medium,200,500,Hydropower,3000.0,0.055,350.0
Italy,Medium,200,500,Biomass,3500.0,0.1,350.0
Italy,High,500,1000,Solar Power,18750.0,0.08,750.0
Italy,High,500,1000,Wind Power,5750.0,0.04,750.0
Italy,High,500,1000,Hydropower,3000.0,0.055,750.0
Italy,High,500,1000,Biomass,3500.0,0.1,750.0
Italy,Very High,1000,2000,Solar Power,18750.0,0.08,1500.0
Italy,Very High,1000,2000,Wind Power,5750.0,0.04,1500.0
Italy,Very High,1000,2000,Hydropower,3000.0,0.055,1500.0
Italy,Very High,1000,2000,Biomass,3500.0,0.1,1500.0
Mexico,Low,100,200,Solar Power,18750.0,0.08,150.0
Mexico,Low,100,200,Wind Power,5750.0,0.04,150.0
Mexico,Low,100,200,Hydropower,3000.0,0.055,150.0
Mexico,Low,100,200,Biomass,3500.0,0.1,150.0
Mexico,Medium,200,500,Solar Power,18750.0,0.08,350.0
Mexico,Medium,200,500,Wind Power,5750.0,0.04,350.0
Mexico,Medium,200,500,Hydropower,3000.0,0.055,350.0
Mexico,Medium,200,500,Biomass,3500.0,0.1,350.0
Mexico,High,500,1000,Solar Power,18750.0,0.08,750.0
Mexico,High,500,1000,Wind Power,5750.0,0.04,750.0
Mexico,High,500,1000,Hydropower,3000.0,0.055,750.0
Mexico,High,500,1000,Biomass,3500.0,0.1,750.0
Mexico,Very High,1000,2000,Solar Power,18750.0,0.08,1500.0
Mexico,Very High,1000,2000,Wind Power,5750.0,0.04,1500.0
Mexico,Very High,1000,2000,Hydropower,3000.0,0.055,1500.0
Mexico,Very High,1000,2000,Biomass,3500.0,0.1,1500.0
South Korea,Low,100,200,Solar Power,18750.0,0.08,150.0
South Korea,Low,100,200,Wind Power,5750.0,0.04,150.0
South Korea,Low,100,200,Hydropower,3000.0,0.055,150.0
South Korea,Low,100,200,Biomass,3500.0,0.1,150.0
South Korea,Medium,200,500,Solar Power,18750.0,0.08,350.0
South Korea,Medium,200,500,Wind Power,5750.0,0.04,350.0
South Korea,Medium,200,500,Hydropower,3000.0,0.055,350.0
South Korea,Medium,200,500,Biomass,3500.0,0.1,350.0
South Korea,High,500,1000,Solar Power,18750.0,0.08,750.0
South Korea,High,500,1000,Wind Power,5750.0,0.04,750.0
South Korea,High,500,1000,Hydropower,3000.0,0.055,750.0
South Korea,High,500,1000,Biomass,3500.0,0.1,750.0
South Korea,Very High,1000,2000,Solar Power,18750.0,0.08,1500.0
South Korea,Very High,1000,2000,Wind Power,5750.0,0.04,1500.0
South Korea,Very High,1000,2000,Hydropower,3000.0,0.055,1500.0
South Korea,Very High,1000,2000,Biomass,3500.0,0.1,1500.0
Spain,Low,100,200,Solar Power,18750.0,0.08,150.0
Spain,Low,100,200,Wind Power,5750.0,0.04,150.0
Spain,Low,100,200,Hydropower,3000.0,0.055,150.0
Spain,Low,100,200,Biomass,3500.0,0.1,150.0
Spain,Medium,200,500,Solar Power,18750.0,0.08,350.0
Spain,Medium,200,500,Wind Power,5750.0,0.04,350.0
Spain,Medium,200,500,Hydropower,3000.0,0.055,350.0
Spain,Medium,200,500,Biomass,3500.0,0.1,350.0
Spain,High,500,1000,Solar Power,18750.0,0.08,750.0
Spain,High,500,1000,Wind Power,5750.0,0.04,750.0
Spain,High,500,1000,Hydropower,3000.0,0.055,750.0
Spain,High,500,1000,Biomass,3500.0,0.1,750.0
Spain,Very High,1000,2000,Solar Power,18750.0,0.08,1500.0
Spain,Very High,1000,2000,Wind Power,5750.0,0.04,1500.0
Spain,Very High,1000,2000,Hydropower,3000.0,0.055,1500.0
Spain,Very High,1000,2000,Biomass,3500.0,0.1,1500.0
Indonesia,Low,100,200,Solar Power,18750.0,0.08,150.0
Indonesia,Low,100,200,Wind Power,5750.0,0.04,150.0
Indonesia,Low,100,200,Hydropower,3000.0,0.055,150.0
Indonesia,Low,100,200,Biomass,3500.0,0.1,150.0
Indonesia,Medium,200,500,Solar Power,18750.0,0.08,350.0
Indonesia,Medium,200,500,Wind Power,5750.0,0.04,350.0
Indonesia,Medium,200,500,Hydropower,3000.0,0.055,350.0
Indonesia,Medium,200,500,Biomass,3500.0,0.1,350.0
Indonesia,High,500,1000,Solar Power,18750.0,0.08,750.0
Indonesia,High,500,1000,Wind Power,5750.0,0.04,750.0
Indonesia,High,500,1000,Hydropower,3000.0,0.055,750.0
Indonesia,High,500,1000,Biomass,3500.0,0.1,750.0
Indonesia,Very High,1000,2000,Solar Power,18750.0,0.08,1500.0
Indonesia,Very High,1000,2000,Wind Power,5750.0,0.04,1500.0
Indonesia,Very High,1000,2000,Hydropower,3000.0,0.055,1500.0
Indonesia,Very High,1000,2000,Biomass,3500.0,0.1,1500.0
Turkey,Low,100,200,Solar Power,18750.0,0.08,150.0
Turkey,Low,100,200,Wind Power,5750.0,0.04,150.0
Turkey,Low,100,200,Hydropower,3000.0,0.055,150.0
Turkey,Low,100,200,Biomass,3500.0,0.1,150.0
Turkey,Medium,200,500,Solar Power,18750.0,0.08,350.0
Turkey,Medium,200,500,Wind Power,5750.0,0.04,350.0
Turkey,Medium,200,500,Hydropower,3000.0,0.055,350.0
Turkey,Medium,200,500,Biomass,3500.0,0.1,350.0
Turkey,High,500,1000,Solar Power,18750.0,0.08,750.0
Turkey,High,500,1000,Wind Power,5750.0,0.04,750.0
Turkey,High,500,1000,Hydropower,3000.0,0.055,750.0
Turkey,High,500,1000,Biomass,3500.0,0.1,750.0
Turkey,Very High,1000,2000,Solar Power,18750.0,0.08,1500.0
Turkey,Very High,1000,2000,Wind Power,5750.0,0.04,1500.0
Turkey,Very High,1000,2000,Hydropower,3000.0,0.055,1500.0
Turkey,Very High,1000,2000,Biomass,3500.0,0.1,1500.0
Saudi Arabia,Low,100,200,Solar Power,18750.0,0.08,150.0
Saudi Arabia,Low,100,200,Wind Power,5750.0,0.04,150.0
Saudi Arabia,Low,100,200,Hydropower,3000.0,0.055,150.0
Saudi Arabia,Low,100,200,Biomass,3500.0,0.1,150.0
Saudi Arabia,Medium,200,500,Solar Power,18750.0,0.08,350.0
Saudi Arabia,Medium,200,500,Wind Power,5750.0,0.04,350.0
Saudi Arabia,Medium,200,500,Hydropower,3000.0,0.055,350.0
Saudi Arabia,Medium,200,500,Biomass,3500.0,0.1,350.0
Saudi Arabia,High,500,1000,Solar Power,18750.0,0.08,750.0
Saudi Arabia,High,500,1000,Wind Power,5750.0,0.04,750.0
Saudi Arabia,High,500,1000,Hydropower,3000.0,0.055,750.0
Saudi Arabia,High,500,1000,Biomass,3500.0,0.1,750.0
Saudi Arabia,Very High,1000,2000,Solar Power,18750.0,0.08,1500.0
Saudi Arabia,Very High,1000,2000,Wind Power,5750.0,0.04,1500.0
Saudi Arabia,Very High,1000,2000,Hydropower,3000.0,0.055,1500.0
Saudi Arabia,Very High,1000,2000,Biomass,3500.0,0.1,1500.0
Netherlands,Low,100,200,Solar Power,18750.0,0.08,150.0
Netherlands,Low,100,200,Wind Power,5750.0,0.04,150.0
Netherlands,Low,100,200,Hydropower,3000.0,0.055,150.0
Netherlands,Low,100,200,Biomass,3500.0,0.1,150.0
Netherlands,Medium,200,500,Solar Power,18750.0,0.08,350.0
Netherlands,Medium,200,500,Wind Power,5750.0,0.04,350.0
Netherlands,Medium,200,500,Hydropower,3000.0,0.055,350.0
Netherlands,Medium,200,500,Biomass,3500.0,0.1,350.0
Netherlands,High,500,1000,Solar Power,18750.0,0.08,750.0
Netherlands,High,500,1000,Wind Power,5750.0,0.04,750.0
Netherlands,High,500,1000,Hydropower,3000.0,0.055,750.0
Netherlands,High,500,1000,Biomass,3500.0,0.1,750.0
Netherlands,Very High,1000,2000,Solar Power,18750.0,0.08,1500.0
Netherlands,Very High,1000,2000,Wind Power,5750.0,0.04,1500.0
Netherlands,Very High,1000,2000,Hydropower,3000.0,0.055,1500.0
Netherlands,Very High,1000,2000,Biomass,3500.0,0.1,1500.0
Sweden,Low,100,200,Solar Power,18750.0,0.08,150.0
Sweden,Low,100,200,Wind Power,5750.0,0.04,150.0
Sweden,Low,100,200,Hydropower,3000.0,0.055,150.0
Sweden,Low,100,200,Biomass,3500.0,0.1,150.0
Sweden,Medium,200,500,Solar Power,18750.0,0.08,350.0
Sweden,Medium,200,500,Wind Power,5750.0,0.04,350.0
Sweden,Medium,200,500,Hydropower,3000.0,0.055,350.0
Sweden,Medium,200,500,Biomass,3500.0,0.1,350.0
Sweden,High,500,1000,Solar Power,18750.0,0.08,750.0
Sweden,High,500,1000,Wind Power,5750.0,0.04,750.0
Sweden,High,500,1000,Hydropower,3000.0,0.055,750.0
Sweden,High,500,1000,Biomass,3500.0,0.1,750.0
Sweden,Very High,1000,2000,Solar Power,18750.0,0.08,1500.0
Sweden,Very High,1000,2000,Wind Power,5750.0,0.04,1500.0
Sweden,Very High,1000,2000,Hydropower,3000.0,0.055,1500.0
Sweden,Very High,1000,2000,Biomass,3500.0,0.1,1500.0
Switzerland,Low,100,200,Solar Power,18750.0,0.08,150.0
Switzerland,Low,100,200,Wind Power,5750.0,0.04,150.0
Switzerland,Low,100,200,Hydropower,3000.0,0.055,150.0
Switzerland,Low,100,200,Biomass,3500.0,0.1,150.0
Switzerland,Medium,200,500,Solar Power,18750.0,0.08,350.0
Switzerland,Medium,200,500,Wind Power,5750.0,0.04,350.0
Switzerland,Medium,200,500,Hydropower,3000.0,0.055,350.0
Switzerland,Medium,200,500,Biomass,3500.0,0.1,350.0
Switzerland,High,500,1000,Solar Power,18750.0,0.08,750.0
Switzerland,High,500,1000,Wind Power,5750.0,0.04,750.0
Switzerland,High,500,1000,Hydropower,3000.0,0.055,750.0
Switzerland,High,500,1000,Biomass,3500.0,0.1,750.0
Switzerland,Very High,1000,2000,Solar Power,18750.0,0.08,1500.0
Switzerland,Very High,1000,2000,Wind Power,5750.0,0.04,1500.0
Switzerland,Very High,1000,2000,Hydropower,3000.0,0.055,1500.0
Switzerland,Very High,1000,2000,Biomass,3500.0,0.1,1500.0
Argentina,Low,100,200,Solar Power,18750.0,0.08,150.0
Argentina,Low,100,200,Wind Power,5750.0,0.04,150.0
Argentina,Low,100,200,Hydropower,3000.0,0.055,150.0
Argentina,Low,100,200,Biomass,3500.0,0.1,150.0
Argentina,Medium,200,500,Solar Power,18750.0,0.08,350.0
Argentina,Medium,200,500,Wind Power,5750.0,0.04,350.0
Argentina,Medium,200,500,Hydropower,3000.0,0.055,350.0
Argentina,Medium,200,500,Biomass,3500.0,0.1,350.0
Argentina,High,500,1000,Solar Power,18750.0,0.08,750.0
Argentina,High,500,1000,Wind Power,5750.0,0.04,750.0
Argentina,High,500,1000,Hydropower,3000.0,0.055,750.0
Argentina,High,500,1000,Biomass,3500.0,0.1,750.0
Argentina,Very High,1000,2000,Solar Power,18750.0,0.08,1500.0
Argentina,Very High,1000,2000,Wind Power,5750.0,0.04,1500.0
Argentina,Very High,1000,2000,Hydropower,3000.0,0.055,1500.0
Argentina,Very High,1000,2000,Biomass,3500.0,0.1,1500.0
Belgium,Low,100,200,Solar Power,18750.0,0.08,150.0
Belgium,Low,100,200,Wind Power,5750.0,0.04,150.0
Belgium,Low,100,200,Hydropower,3000.0,0.055,150.0
Belgium,Low,100,200,Biomass,3500.0,0.1,150.0
Belgium,Medium,200,500,Solar Power,18750.0,0.08,350.0
Belgium,Medium,200,500,Wind Power,5750.0,0.04,350.0
Belgium,Medium,200,500,Hydropower,3000.0,0.055,350.0
Belgium,Medium,200,500,Biomass,3500.0,0.1,350.0
Belgium,High,500,1000,Solar Power,18750.0,0.08,750.0
Belgium,High,500,1000,Wind Power,5750.0,0.04,750.0
Belgium,High,500,1000,Hydropower,3000.0,0.055,750.0
Belgium,High,500,1000,Biomass,3500.0,0.1,750.0
Belgium,Very High,1000,2000,Solar Power,18750.0,0.08,1500.0
Belgium,Very High,1000,2000,Wind Power,5750.0,0.04,1500.0
Belgium,Very High,1000,2000,Hydropower,3000.0,0.055,1500.0
Belgium,Very High,1000,2000,Biomass,3500.0,0.1,1500.0
Norway,Low,100,200,Solar Power,18750.0,0.08,150.0
Norway,Low,100,200,Wind Power,5750.0,0.04,150.0
Norway,Low,100,200,Hydropower,3000.0,0.055,150.0
Norway,Low,100,200,Biomass,3500.0,0.1,150.0
Norway,Medium,200,500,Solar Power,18750.0,0.08,350.0
Norway,Medium,200,500,Wind Power,5750.0,0.04,350.0
Norway,Medium,200,500,Hydropower,3000.0,0.055,350.0
Norway,Medium,200,500,Biomass,3500.0,0.1,350.0
Norway,High,500,1000,Solar Power,18750.0,0.08,750.0
Norway,High,500,1000,Wind Power,5750.0,0.04,750.0
Norway,High,500,1000,Hydropower,3000.0,0.055,750.0
Norway,High,500,1000,Biomass,3500.0,0.1,750.0
Norway,Very High,1000,2000,Solar Power,18750.0,0.08,1500.0
Norway,Very High,1000,2000,Wind Power,5750.0,0.04,1500.0
Norway,Very High,1000,2000,Hydropower,3000.0,0.055,1500.0
Norway,Very High,1000,2000,Biomass,3500.0,0.1,1500.0
Poland,Low,100,200,Solar Power,18750.0,0.08,150.0
Poland,Low,100,200,Wind Power,5750.0,0.04,150.0
Poland,Low,100,200,Hydropower,3000.0,0.055,150.0
Poland,Low,100,200,Biomass,3500.0,0.1,150.0
Poland,Medium,200,500,Solar Power,18750.0,0.08,350.0
Poland,Medium,200,500,Wind Power,5750.0,0.04,350.0
Poland,Medium,200,500,Hydropower,3000.0,0.055,350.0
Poland,Medium,200,500,Biomass,3500.0,0.1,350.0
Poland,High,500,1000,Solar Power,18750.0,0.08,750.0
Poland,High,500,1000,Wind Power,5750.0,0.04,750.0
Poland,High,500,1000,Hydropower,3000.0,0.055,750.0
Poland,High,500,1000,Biomass,3500.0,0.1,750.0
Poland,Very High,1000,2000,Solar Power,18750.0,0.08,1500.0
Poland,Very High,1000,2000,Wind Power,5750.0,0.04,1500.0
Poland,Very High,1000,2000,Hydropower,3000.0,0.055,1500.0
Poland,Very High,1000,2000,Biomass,3500.0,0.1,1500.0
Thailand,Low,100,200,Solar Power,18750.0,0.08,150.0
Thailand,Low,100,200,Wind Power,5750.0,0.04,150.0
Thailand,Low,100,200,Hydropower,3000.0,0.055,150.0
Thailand,Low,100,200,Biomass,3500.0,0.1,150.0
Thailand,Medium,200,500,Solar Power,18750.0,0.08,350.0
Thailand,Medium,200,500,Wind Power,5750.0,0.04,350.0
Thailand,Medium,200,500,Hydropower,3000.0,0.055,350.0
Thailand,Medium,200,500,Biomass,3500.0,0.1,350.0
Thailand,High,500,1000,Solar Power,18750.0,0.08,750.0
Thailand,High,500,1000,Wind Power,5750.0,0.04,750.0
Thailand,High,500,1000,Hydropower,3000.0,0.055,750.0
Thailand,High,500,1000,Biomass,3500.0,0.1,750.0
Thailand,Very High,1000,2000,Solar Power,18750.0,0.08,1500.0
Thailand,Very High,1000,2000,Wind Power,5750.0,0.04,1500.0
Thailand,Very High,1000,2000,Hydropower,3000.0,0.055,1500.0
Thailand,Very High,1000,2000,Biomass,3500.0,0.1,1500.0
Vietnam,Low,100,200,Solar Power,18750.0,0.08,150.0
Vietnam,Low,100,200,Wind Power,5750.0,0.04,150.0
Vietnam,Low,100,200,Hydropower,3000.0,0.055,150.0
Vietnam,Low,100,200,Biomass,3500.0,0.1,150.0
Vietnam,Medium,200,500,Solar Power,18750.0,0.08,350.0
Vietnam,Medium,200,500,Wind Power,5750.0,0.04,350.0
Vietnam,Medium,200,500,Hydropower,3000.0,0.055,350.0
Vietnam,Medium,200,500,Biomass,3500.0,0.1,350.0
